,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
30,Austria,15752,+68,609.0,+1,13698.0,1445,92.0,1749.0,68.0,292254.0,32450.0
31,Japan,15253,,556.0,,4496.0,10201,308.0,121.0,4.0,186343.0,1473.0
32,Poland,15047,+307,755.0,+22,4862.0,9430,160.0,398.0,20.0,425994.0,11256.0
33,Romania,14499,+392,886.0,+22,6144.0,7469,234.0,754.0,46.0,226613.0,11780.0
34,Ukraine,13691,+507,340.0,+13,2396.0,10955,178.0,313.0,8.0,151569.0,3466.0
35,Indonesia,12776,+338,930.0,+35,2381.0,9465,,47.0,3.0,134151.0,490.0
36,Bangladesh,12425,+706,199.0,+13,1910.0,10316,1.0,75.0,1.0,105513.0,641.0
37,S. Korea,10810,+4,256.0,+1,9419.0,1135,55.0,211.0,5.0,649388.0,12666.0
38,Philippines,10343,+339,685.0,+27,1618.0,8040,31.0,94.0,6.0,144583.0,1319.0
39,Denmark,10083,+145,514.0,+8,7711.0,1858,43.0,1741.0,89.0,284480.0,49114.0
40,Serbia,9848,+57,206.0,+3,2160.0,7482,46.0,1127.0,24.0,122995.0,14077.0
41,Dominican Republic,9095,+288,373.0,+11,2064.0,6658,133.0,838.0,34.0,36959.0,3407.0
42,Colombia,8959,,397.0,,2148.0,6414,123.0,176.0,8.0,131110.0,2577.0
43,Czechia,8002,+28,269.0,+7,4369.0,3364,52.0,747.0,25.0,286821.0,26783.0
44,Norway,7996,,216.0,,32.0,7748,27.0,1475.0,40.0,191946.0,35406.0
45,Egypt,7981,+393,482.0,+13,1887.0,5612,41.0,78.0,5.0,90000.0,879.0
46,South Africa,7808,,153.0,,3153.0,4502,36.0,132.0,3.0,279379.0,4711.0
47,Panama,7731,+208,218.0,+8,859.0,6654,88.0,1792.0,51.0,38014.0,8810.0
48,Australia,6896,+21,97.0,,6040.0,759,23.0,270.0,4.0,722549.0,28335.0
49,Kuwait,6567,+278,44.0,+2,2381.0,4142,91.0,1538.0,10.0,196397.0,45988.0
50,Malaysia,6467,+39,107.0,,4776.0,1584,19.0,200.0,3.0,231019.0,7138.0
51,Finland,5673,+100,255.0,+3,3500.0,1918,44.0,1024.0,46.0,112100.0,20232.0
52,Morocco,5548,+140,183.0,,2179.0,3186,1.0,150.0,5.0,56492.0,1531.0
53,Argentina,5208,,273.0,,1601.0,3334,148.0,115.0,6.0,72315.0,1600.0
54,Algeria,5182,+185,483.0,+7,2323.0,2376,22.0,118.0,11.0,6500.0,148.0
55,Moldova,4605,+129,145.0,+2,1747.0,2713,237.0,1142.0,36.0,20447.0,5069.0
56,Kazakhstan,4578,+156,30.0,,1518.0,3030,31.0,244.0,2.0,353843.0,18845.0
57,Bahrain,4131,+197,8.0,,1998.0,2125,4.0,2428.0,5.0,164517.0,96685.0
58,Luxembourg,3859,+8,100.0,+2,3505.0,254,21.0,6165.0,160.0,51883.0,82883.0
59,Afghanistan,3563,+171,106.0,+2,468.0,2989,7.0,92.0,3.0,14389.0,370.0
60,Hungary,3150,+39,383.0,+10,801.0,1966,50.0,326.0,40.0,94036.0,9734.0
61,Nigeria,3145,,103.0,,534.0,2508,4.0,15.0,0.5,22492.0,109.0
62,Ghana,3091,,18.0,,303.0,2770,4.0,99.0,0.6,135902.0,4374.0
63,Thailand,2992,+3,55.0,,2772.0,165,61.0,43.0,0.8,227860.0,3264.0
64,Oman,2958,+55,14.0,+1,980.0,1964,17.0,579.0,3.0,50000.0,9791.0
65,Armenia,2884,+102,42.0,+2,1185.0,1657,10.0,973.0,14.0,28017.0,9455.0
66,Greece,2678,+15,148.0,+1,1374.0,1156,33.0,257.0,14.0,90043.0,8639.0
67,Iraq,2543,+63,102.0,,1626.0,815,,63.0,3.0,120604.0,2998.0
68,Uzbekistan,2269,+36,10.0,,1656.0,603,8.0,68.0,0.3,325000.0,9710.0
69,Cameroon,2267,+2,108.0,,1002.0,1157,12.0,85.0,4.0,,
70,Azerbaijan,2204,+77,28.0,,1551.0,625,18.0,217.0,3.0,175910.0,17350.0
71,Croatia,2125,+6,86.0,+1,1641.0,398,14.0,518.0,21.0,41938.0,10216.0
72,Bosnia and Herzegovina,2027,+40,90.0,+4,954.0,983,4.0,618.0,27.0,38187.0,11639.0
73,Bolivia,1886,+84,91.0,+5,198.0,1597,3.0,162.0,8.0,7651.0,655.0
74,Guinea,1856,,11.0,,597.0,1248,,141.0,0.8,,
75,Bulgaria,1829,+51,84.0,,384.0,1361,43.0,263.0,12.0,52931.0,7618.0
76,Iceland,1799,,10.0,,1750.0,39,,5272.0,29.0,51663.0,151397.0
77,Cuba,1729,+26,73.0,+4,1031.0,625,8.0,153.0,6.0,61613.0,5440.0
78,Estonia,1720,+7,56.0,+1,273.0,1391,4.0,1297.0,42.0,60530.0,45630.0
79,North Macedonia,1572,+33,89.0,+1,1079.0,404,21.0,755.0,43.0,18168.0,8720.0
80,Ivory Coast,1516,,18.0,,721.0,777,,57.0,0.7,11448.0,434.0
81,Senegal,1492,+59,13.0,+1,562.0,917,6.0,89.0,0.8,18969.0,1133.0
82,New Zealand,1489,+1,21.0,,1332.0,136,2.0,309.0,4.0,168023.0,34843.0
83,Honduras,1461,+191,99.0,+6,132.0,1230,10.0,148.0,10.0,5653.0,571.0
84,Slovenia,1449,+1,99.0,,247.0,1103,13.0,697.0,48.0,59978.0,28850.0
85,Slovakia,1445,+16,26.0,+1,806.0,613,4.0,265.0,5.0,109767.0,20105.0
86,Lithuania,1433,+5,49.0,+1,739.0,645,17.0,526.0,18.0,164088.0,60276.0
87,Djibouti,1124,,3.0,,755.0,366,,1138.0,3.0,14538.0,14715.0
88,Hong Kong,1045,+4,4.0,,944.0,97,1.0,139.0,0.5,154989.0,20674.0
89,Tunisia,1025,,43.0,,591.0,391,18.0,87.0,4.0,25555.0,2162.0
