,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,"
North America
","7,700,604","+33,058","281,049",+608,"4,594,694","+39,610","2,824,861","18,564",,,,,,North America,"
",,
1,,"
Asia
","7,857,641","+100,335","153,760","+1,641","6,349,183","+96,829","1,354,698","19,177",,,,,,Asia,"
",,
2,,"
South America
","6,747,445","+29,411","218,949",+969,"5,385,882","+63,119","1,142,614","15,050",,,,,,South America,"
",,
3,,"
Europe
","3,831,179","+26,207","210,280",+263,"2,168,113","+8,051","1,452,786","6,072",,,,,,Europe,"
",,
4,,"
Africa
","1,312,179","+6,927","31,575",+218,"1,049,512","+9,058","231,092","1,434",,,,,,Africa,"
",,
5,,"
Oceania
","29,346",+56,793,+9,"24,876",+138,"3,677",41,,,,,,Australia/Oceania,"
121,114,Slovakia,"4,636",+22,37 ,,"2,836",+34,"1,763",18,849,7,"357,745","65,519","5,460,145 ",Europe,"1,178","147,571",15
122,115,Mozambique,"4,557",+113,27 ,,"2,697",+82,"1,833",,145,0.9,"106,382","3,387","31,410,820 ",Africa,"6,893","1,163,364",295
123,116,Rwanda,"4,409",+35,19 ,,"2,271",+36,"2,119",,339,1,"444,350","34,155","13,009,703 ",Africa,"2,951","684,721",29
124,117,Suriname,"4,360",+14,91 ,+6,"3,544",+50,725,8,"7,420",155,"10,372","17,651","587,613 ",South America,135,"6,457",57
125,118,Cabo Verde,"4,358",+28,42 ,,"3,790",+162,526,,"7,823",75,"76,576","137,453","557,108 ",Africa,128,"13,264",7
126,119,Cuba,"4,352",+43,102 ,+1,"3,642",+52,608,2,384,9,"439,204","38,781","11,325,297 ",North America,"2,602","111,032",26
127,120,Uganda,"3,776",+109,44 ,+3,"1,741",+177,"1,991",,82,1.0,"411,666","8,950","45,994,760 ",Africa,"12,181","1,045,335",112
128,121,Thailand,"3,445",+1,58 ,,"3,281",,106,1,49,0.8,"749,213","10,729","69,833,165 ",Asia,"20,271","1,204,020",93
129,122,Mayotte,"3,374",,40 ,,"2,964",,370,2,"12,314",146,"13,000","47,446","273,996 ",Africa,81,"6,850",21
130,123,Somalia,"3,362",,97 ,,"2,696",,569,,210,6,,,"15,971,929 ",Africa,"4,751","164,659",
131,124,Syria,"3,229",+58,137 ,+3,744,+14,"2,348",,184,8,,,"17,576,878 ",Asia,"5,443","128,298",
132,125,Gambia,"3,197",,99 ,,"1,315",,"1,783",,"1,316",41,"13,838","5,698","2,428,713 ",Africa,760,"24,532",176
133,126,Slovenia,"3,190",+25,135 ,,"2,530",+47,525,4,"1,534",65,"168,859","81,222","2,078,992 ",Europe,652,"15,400",12
134,127,Sri Lanka,"3,123",,12 ,,"2,926",+1,185,,146,0.6,"235,221","10,976","21,430,194 ",Asia,"6,862","1,785,850",91
135,128,Jamaica,"3,103",+79,33 ,+1,958,+8,"2,112",8,"1,047",11,"63,252","21,343","2,963,605 ",North America,955,"89,806",47
136,129,Lithuania,"3,100",+17,86 ,,"1,955",+1,"1,059",,"1,142",32,"666,930","245,662","2,714,825 ",Europe,876,"31,568",4
137,130,Angola,"2,981",+16,120 ,+3,"1,215",+17,"1,646",24,90,4,"64,747","1,959","33,046,107 ",Africa,"11,086","275,384",510
138,131,Mali,"2,870",+28,127 ,,"2,246",+8,497,,141,6,"41,204","2,024","20,354,106 ",Africa,"7,092","160,269",494
139,132,Bahamas,"2,546",+40,58 ,+2,976,+28,"1,512",75,"6,463",147,"12,833","32,576","393,944 ",North America,155,"6,792",31
140,133,South Sudan,"2,545",+1,48 ,,"1,290",,"1,207",,227,4,"12,044","1,074","11,218,042 ",Africa,"4,408","233,709",931
141,134,Estonia,"2,532",+16,64 ,,"2,176",+6,292,,"1,908",48,"160,423","120,918","1,326,705 ",Europe,524,"20,730",8
142,135,Aruba,"2,482",+33,15 ,+1,"1,244",+38,"1,223",9,"23,228",140,"23,551","220,408","106,852 ",North America,43,"7,123",5
143,136,Jordan,"2,478",+67,17 ,+1,"1,817",+61,644,3,242,2,"903,365","88,375","10,221,987 ",Asia,"4,125","601,293",11
144,137,Trinidad and Tobago,"2,277",+27,37 ,+3,734,+10,"1,506",16,"1,626",26,"25,400","18,138","1,400,345 ",North America,615,"37,847",55
145,138,Réunion,"2,277",+55,13 ,,"1,313",,951,,"2,540",15,"35,419","39,508","896,509 ",Africa,394,"68,962",25
146,139,Guinea-Bissau,"2,245",,38 ,,"1,127",,"1,080",5,"1,136",19,,,"1,976,355 ",Africa,880,"52,009",
147,140,Benin,"2,213",,40 ,,"1,793",,380,,182,3,"131,073","10,761","12,179,833 ",Africa,"5,504","304,496",93
148,141,Iceland,"2,143",+2,10 ,,"2,057",+7,76,,"6,272",29,"227,051","664,554","341,659 ",Europe,159,"34,166",2
149,142,Botswana,"2,126",+124,9 ,+1,493,,"1,624",1,901,4,"133,971","56,762","2,360,235 ",Africa,"1,110","262,248",18
150,143,Malta,"2,076",+37,14 ,,"1,690",+63,372,2,"4,699",32,"203,777","461,278","441,766 ",Europe,213,"31,555",2
151,144,Sierra Leone,"2,055",+1,71 ,,"1,611",,373,,257,9,,,"8,006,379 ",Africa,"3,896","112,766",
152,145,Yemen,"1,989",+2,573 ,+1,"1,201",+1,215,,66,19,,,"29,944,463 ",Asia,"15,055","52,259",
153,146,New Zealand,"1,776",+4,24 ,,"1,634",+2,118,4,355,5,"818,629","163,657","5,002,100 ",Australia/Oceania,"2,816","208,421",6
154,147,Uruguay,"1,693",+14,45 ,,"1,466",+7,182,3,487,13,"186,883","53,764","3,476,006 ",South America,"2,053","77,245",19
155,148,Georgia,"1,684",+34,19 ,,"1,315",+5,350,,422,5,"404,061","101,327","3,987,701 ",Asia,"2,368","209,879",10
156,149,Guyana,"1,560",+92,47 ,+1,962,+8,551,16,"1,982",60,"9,762","12,400","787,267 ",South America,505,"16,750",81
157,150,Myanmar,"1,518",+99,8 ,,388,+3,"1,122",,28,0.1,"166,433","3,055","54,478,228 ",Asia,"35,888","6,809,779",327
158,151,Cyprus,"1,510",+1,22 ,+1,"1,237",,251,5,"1,249",18,"312,813","258,736","1,209,006 ",Asia,801,"54,955",4
159,152,Togo,"1,493",+5,33 ,+1,"1,114",+8,346,,180,4,"71,142","8,557","8,313,592 ",Africa,"5,568","251,927",117
160,153,Burkina Faso,"1,463",+11,56 ,+1,"1,112",+9,295,,70,3,,,"21,005,152 ",Africa,"14,358","375,092",
161,154,Latvia,"1,429",+1,35 ,,"1,187",,207,,759,19,"265,305","140,960","1,882,125 ",Europe,"1,317","53,775",7
162,155,Guadeloupe,"1,363",,18 ,,336,,"1,009",7,"3,406",45,"31,762","79,378","400,137 ",North America,294,"22,230",13
163,156,Liberia,"1,311",+4,82 ,,"1,190",+8,39,,258,16,,,"5,079,039 ",Africa,"3,874","61,940",
164,157,Belize,"1,307",+46,16 ,+1,314,+13,977,3,"3,276",40,"9,863","24,723","398,944 ",North America,305,"24,934",40
165,158,Andorra,"1,261",+46,53 ,,934,+6,274,3,"16,316",686,"137,457","1,778,504","77,288 ",Europe,61,"1,458",1
