,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
132,132.0,Réunion,449,,1.0,,411.0,37.0,2.0,502.0,1.0,17200.0,19226.0,894609.0
133,133.0,Madagascar,448,+43,2.0,,135.0,311.0,2.0,16.0,0.07,5670.0,205.0,27605453.0
134,134.0,Taiwan,441,,7.0,,408.0,26.0,,19.0,0.3,70338.0,2954.0,23812157.0
135,135.0,Ethiopia,433,+34,5.0,,128.0,300.0,,4.0,0.04,73205.0,639.0,114622829.0
136,136.0,Palestine,423,,2.0,,346.0,75.0,,83.0,0.4,44876.0,8821.0,5087326.0
137,137.0,Togo,363,+9,12.0,,121.0,230.0,,44.0,1.0,14767.0,1789.0,8255653.0
138,138.0,Cabo Verde,362,+6,3.0,,95.0,264.0,,652.0,5.0,892.0,1606.0,555311.0
139,139.0,Isle of Man,336,,24.0,,303.0,9.0,2.0,3954.0,282.0,4393.0,51692.0,84984.0
140,140.0,Mauritius,332,,10.0,,322.0,0.0,,261.0,8.0,101052.0,79472.0,1271542.0
141,141.0,Montenegro,324,,9.0,,314.0,1.0,,516.0,14.0,10167.0,16188.0,628058.0
142,142.0,Vietnam,324,,,,266.0,58.0,2.0,3.0,,275000.0,2828.0,97241403.0
143,143.0,Rwanda,321,+1,,,222.0,99.0,,25.0,,55968.0,4334.0,12913795.0
144,144.0,Nicaragua,279,,17.0,,199.0,63.0,,42.0,3.0,,,6615686.0
145,145.0,Sao Tome and Principe,251,,8.0,,4.0,239.0,,1148.0,37.0,175.0,800.0,218686.0
146,146.0,Liberia,249,+9,24.0,+1,136.0,89.0,,49.0,5.0,,,5043542.0
147,147.0,French Guiana,249,,1.0,,137.0,111.0,,836.0,3.0,,,297751.0
148,148.0,Eswatini,225,+5,2.0,,119.0,104.0,,194.0,2.0,4994.0,4310.0,1158822.0
149,149.0,Yemen,209,+12,33.0,,11.0,165.0,,7.0,1.0,120.0,4.0,29748378.0
150,150.0,Mauritania,200,+27,6.0,+1,7.0,187.0,,43.0,1.0,2583.0,557.0,4634928.0
151,151.0,Myanmar,199,,6.0,,108.0,85.0,,4.0,0.1,16550.0,304.0,54369777.0
152,152.0,Martinique,197,+5,14.0,,91.0,92.0,,525.0,37.0,,,375296.0
153,153.0,Faeroe Islands,187,,,,187.0,0.0,,3829.0,,9084.0,185984.0,48843.0
154,154.0,Mozambique,164,+2,,,48.0,116.0,,5.0,,7480.0,240.0,31149023.0
155,155.0,Uganda,160,,,,66.0,94.0,,4.0,,81682.0,1793.0,45562477.0
156,156.0,Guadeloupe,155,,13.0,,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,400117.0
157,157.0,Gibraltar,151,,,,147.0,4.0,,4482.0,,6101.0,181082.0,33692.0
158,158.0,Brunei,141,,1.0,,136.0,4.0,2.0,323.0,2.0,18193.0,41630.0,437013.0
159,159.0,Mongolia,141,+1,,,28.0,113.0,27.0,43.0,,12153.0,3714.0,3272228.0
160,160.0,Benin,135,,3.0,,61.0,71.0,,11.0,0.2,26792.0,2217.0,12084945.0
161,161.0,Cayman Islands,129,+8,1.0,,61.0,67.0,,1965.0,15.0,7959.0,121262.0,65635.0
162,162.0,Guyana,127,,10.0,,57.0,60.0,3.0,162.0,13.0,1329.0,1691.0,786139.0
163,163.0,Bermuda,125,,9.0,,80.0,36.0,2.0,2006.0,144.0,5784.0,92838.0,62302.0
164,164.0,Cambodia,123,,,,122.0,1.0,,7.0,,15830.0,948.0,16692685.0
165,165.0,Trinidad and Tobago,116,,8.0,,108.0,0.0,,83.0,6.0,2835.0,2026.0,1398999.0
166,166.0,Aruba,101,,3.0,,95.0,3.0,4.0,946.0,28.0,2048.0,19191.0,106717.0
167,167.0,Bahamas,97,,11.0,,44.0,42.0,1.0,247.0,28.0,1910.0,4862.0,392826.0
168,168.0,Monaco,97,,4.0,,90.0,3.0,1.0,2474.0,102.0,,,39211.0
169,169.0,Barbados,90,,7.0,,70.0,13.0,4.0,313.0,24.0,4541.0,15804.0,287337.0
170,170.0,Malawi,82,+10,3.0,,28.0,51.0,1.0,4.0,0.2,2411.0,126.0,19070499.0
171,171.0,Liechtenstein,82,,1.0,,55.0,26.0,,2151.0,26.0,900.0,23612.0,38116.0
172,172.0,Comoros,78,+44,1.0,,18.0,59.0,,90.0,1.0,,,867421.0
173,173.0,Sint Maarten,77,,15.0,,59.0,3.0,1.0,1798.0,350.0,437.0,10205.0,42821.0
174,174.0,Libya,72,+1,3.0,,38.0,31.0,,10.0,0.4,4351.0,634.0,6860692.0
175,175.0,Angola,60,+2,3.0,,17.0,40.0,,2.0,0.09,6136.0,187.0,32740203.0
176,176.0,French Polynesia,60,,,,60.0,0.0,,214.0,,3686.0,13130.0,280731.0
177,177.0,Syria,59,+1,4.0,+1,37.0,18.0,,3.0,0.2,,,17449901.0
178,178.0,Zimbabwe,51,,4.0,,18.0,29.0,,3.0,0.3,28019.0,1888.0,14838265.0
179,179.0,Macao,45,,,,45.0,0.0,,69.0,,,,648331.0
180,180.0,Burundi,42,,1.0,,20.0,21.0,,4.0,0.08,284.0,24.0,11847387.0
181,181.0,Saint Martin,40,,3.0,,33.0,4.0,1.0,1037.0,78.0,,,38590.0
182,182.0,Eritrea,39,,,,39.0,0.0,,11.0,,,,3540846.0
183,183.0,Botswana,29,,1.0,,19.0,9.0,,12.0,0.4,14855.0,6332.0,2346068.0
184,184.0,Antigua and Barbuda,25,,3.0,,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,97839.0
185,185.0,Gambia,25,+1,1.0,,13.0,11.0,,10.0,0.4,1476.0,613.0,2408415.0
186,186.0,Timor-Leste,24,,,,24.0,0.0,,18.0,,738.0,561.0,1315521.0
187,187.0,Grenada,22,,,,17.0,5.0,4.0,196.0,,3007.0,26737.0,112466.0
188,188.0,Bhutan,21,,,,6.0,15.0,,27.0,,14843.0,19260.0,770656.0
189,189.0,Laos,19,,,,14.0,5.0,,3.0,,5044.0,694.0,7263530.0
190,190.0,Namibia,19,+1,,,14.0,5.0,,7.0,,2681.0,1057.0,2535571.0
191,191.0,Belize,18,,2.0,,16.0,0.0,,45.0,5.0,1435.0,3617.0,396791.0
192,192.0,Fiji,18,,,,15.0,3.0,,20.0,,1300.0,1451.0,895730.0
193,193.0,New Caledonia,18,,,,18.0,0.0,,63.0,,5454.0,19124.0,285193.0
194,194.0,Saint Lucia,18,,,,18.0,0.0,,98.0,,867.0,4724.0,183536.0
195,195.0,St. Vincent Grenadines,18,,,,14.0,4.0,,162.0,,175.0,1578.0,110902.0
196,196.0,Curaçao,16,,1.0,,14.0,1.0,,98.0,6.0,504.0,3073.0,164020.0
197,197.0,Dominica,16,,,,16.0,0.0,,222.0,,433.0,6017.0,71967.0
198,198.0,Saint Kitts and Nevis,15,,,,15.0,0.0,,282.0,,391.0,7355.0,53158.0
199,199.0,Falkland Islands,13,,,,13.0,0.0,,3749.0,,426.0,122837.0,3468.0
200,200.0,Turks and Caicos,12,,1.0,,10.0,1.0,,310.0,26.0,109.0,2820.0,38658.0
201,201.0,Vatican City,12,,,,2.0,10.0,,14981.0,,,,801.0
202,202.0,Montserrat,11,,1.0,,10.0,0.0,,2204.0,200.0,36.0,7212.0,4992.0
203,203.0,Suriname,11,,1.0,,9.0,1.0,,19.0,2.0,404.0,689.0,586049.0
204,204.0,Greenland,11,,,,11.0,0.0,,194.0,,1767.0,31132.0,56759.0
205,205.0,Seychelles,11,,,,11.0,0.0,,112.0,,,,98280.0
206,206.0,MS Zaandam,9,,2.0,,,7.0,,,,,,
207,207.0,British Virgin Islands,8,,1.0,,6.0,1.0,,265.0,33.0,167.0,5528.0,30209.0
208,208.0,Papua New Guinea,8,,,,8.0,0.0,,0.9,,2402.0,269.0,8927298.0
209,209.0,Caribbean Netherlands,6,,,,6.0,0.0,,229.0,,424.0,16186.0,26196.0
210,210.0,St. Barth,6,,,,6.0,0.0,,608.0,,,,9874.0
211,211.0,Western Sahara,6,,,,6.0,0.0,,10.0,,,,595583.0
212,212.0,Anguilla,3,,,,3.0,0.0,,200.0,,,,14988.0
213,213.0,Lesotho,2,+1,,,,2.0,,0.9,,,,2140374.0
214,214.0,Saint Pierre Miquelon,1,,,,1.0,0.0,,173.0,,,,5797.0
215,215.0,China,82971,+4,4634.0,,78255.0,82.0,8.0,58.0,3.0,,,1439323776.0
216,,Total:,5279848,"+89,352",338676.0,"+4,503",2138396.0,2802776.0,44694.0,677.4,43.4,,,
